Coefficients order=120 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          120





Max Harmonic Order:120              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   35   11        0.2949924535       -0.0074580840
   35   12        0.3116774678        0.3434451974
   35   13       -0.1596828603        0.1466665102
   35   14       -0.2967073183       -0.3513222732
   35   15        0.5408873880       -0.1401193177
   35   16       -0.0599086137        0.3683401416
   35   17        0.3151254390       -0.0570030506
   35   18       -0.4399787592        0.2912012063
   35   19       -0.4606043464       -0.1783147445
   35   20       -0.7724213354       -0.1062023829
   35   21       -0.1869076759       -0.0665375085
   35   22       -0.2802544537       -0.3009572734
   35   23       -0.0390522039        0.7187313988
   35   24        0.2947337387       -0.5889111132
   35   25        0.3491517431       -0.5830759425
   35   26        0.4208159410       -0.1804750969
   35   27        0.0259029244       -0.7143181341
   35   28        0.4801745489       -0.0036483582
   35   29        1.2384395055        0.3443652916
   35   30       -0.0023582384       -0.1231632921
   35   31        0.5104251125        0.5110198611
   35   32        0.0929524329        0.2572214773
   35   33       -0.5098020378        0.1205149437
   35   34        0.1591565056        0.4898336223
   35   35        0.3435882323        0.0237154260
   36    0       -0.5242477704        0.0000000000
   36    1        0.3614380491       -0.0509172428
   36    2        0.0277002317       -0.2008810949
   36    3        0.0023156914       -0.1603491658
   36    4        0.0364957998       -0.6724365918
   36    5       -0.2486964145        0.6616775326
   36    6        0.3589851934       -0.1121181997
   36    7       -0.0222249078       -0.3286136195
   36    8       -0.2024304012        0.1391765429
